,COD_DEPTO,DEPTO,mean_value,std_value,ssp,period,model,crop
0,01,Atlántida,45.47747747747748,20.544325556118874,historical,1981_2010,ensemble,banana
0,06,Choluteca,41.623655913978496,20.98740737572707,historical,1981_2010,ensemble,banana
0,02,Colon,37.97549019607843,12.004263427881874,historical,1981_2010,ensemble,banana
0,03,Comayagua,37.28,17.001517579322147,historical,1981_2010,ensemble,banana
0,04,Copán,30.707482993197278,9.425837182438855,historical,1981_2010,ensemble,banana
0,05,Cortés,42.2578125,15.61562023151318,historical,1981_2010,ensemble,banana
0,07,El Paraíso,42.657575757575756,15.296692657050437,historical,1981_2010,ensemble,banana
0,08,Francisco Morazán,32.485788113695094,15.437853393594997,historical,1981_2010,ensemble,banana
0,09,Gracias a Dios,48.83388704318937,25.65110233506256,historical,1981_2010,ensemble,banana
0,10,Intibucá,26.453125,15.51202123304294,historical,1981_2010,ensemble,banana
0,12,La Paz,28.988636363636363,13.819036867983156,historical,1981_2010,ensemble,banana
0,13,Lempira,29.849162011173185,14.141133664206274,historical,1981_2010,ensemble,banana
0,14,Ocotepeque,17.98181818181818,8.280296237763718,historical,1981_2010,ensemble,banana
0,15,Olancho,35.75725593667546,12.694052327833642,historical,1981_2010,ensemble,banana
0,16,Santa Bárbara,35.32,6.231447129947693,historical,1981_2010,ensemble,banana
0,17,Valle,48.55555555555556,21.54123235467332,historical,1981_2010,ensemble,banana
0,18,Yoro,35.411764705882355,11.935875533432403,historical,1981_2010,ensemble,banana
0,01,Atlántida,73.62135922330097,5.456120647625386,historical,1981_2010,ensemble,beans
0,06,Choluteca,55.037837837837834,18.999393323903952,historical,1981_2010,ensemble,beans
0,02,Colon,76.94818652849742,8.792802598735893,historical,1981_2010,ensemble,beans
0,03,Comayagua,70.73333333333333,10.220174451151301,historical,1981_2010,ensemble,beans
0,04,Copán,75.45454545454545,8.727199883145879,historical,1981_2010,ensemble,beans
0,05,Cortés,73.152,13.43610419727385,historical,1981_2010,ensemble,beans
0,07,El Paraíso,71.4601226993865,9.966967158608133,historical,1981_2010,ensemble,beans
0,08,Francisco Morazán,61.638020833333336,9.848948349082724,historical,1981_2010,ensemble,beans
0,09,Gracias a Dios,74.225,18.77563247936005,historical,1981_2010,ensemble,beans
0,10,Intibucá,54.86614173228347,9.99004402402508,historical,1981_2010,ensemble,beans
0,12,La Paz,57.74418604651163,4.600773561123774,historical,1981_2010,ensemble,beans
0,13,Lempira,60.67045454545455,7.8887457104597765,historical,1981_2010,ensemble,beans
0,14,Ocotepeque,62.888888888888886,7.357703613841469,historical,1981_2010,ensemble,beans
0,15,Olancho,74.44591029023746,13.560345062287722,historical,1981_2010,ensemble,beans
0,16,Santa Bárbara,65.57777777777778,20.56565517651957,historical,1981_2010,ensemble,beans
0,17,Valle,55.111111111111114,19.15609324181843,historical,1981_2010,ensemble,beans
0,18,Yoro,73.76160990712074,11.405642507089652,historical,1981_2010,ensemble,beans
0,01,Atlántida,40.94736842105263,18.44424605054481,historical,1981_2010,ensemble,cassava
0,06,Choluteca,46.959537572254334,21.14397613869706,historical,1981_2010,ensemble,cassava
0,02,Colon,35.76635514018692,13.574012718958096,historical,1981_2010,ensemble,cassava
